,Classification,Wage,Vac,Holiday
#wages,General Foreperson,43.76,3.94,1.31
#wages,Foreperson,42.01,3.78,1.26
#wages,Assistant Foreperson,38.46,3.46,1.15
#wages,Journeyperson,37.26,3.35,1.12
#wages,3rd Year Apprentice,33.34,3,1
#wages,2nd Year Apprentice,27.45,2.47,0.82
#wages,1st Year Apprentice,21.56,1.94,0.65
#wages,Helper,27.45,2.47,0.82
,,,,
,,,,
,,,,
,2013,2014,2015,
#surname,NB - ,,,
,,,,
#brackets,0,0,0,
#brackets,38954,39305,39973,
#brackets,77908,78609,79946,
#brackets,126662,127802,129975,
,,,,
#rates,0.091,0.968,0.0968,
#rates,0.121,0.1482,0.1482,
#rates,0.124,0.1652,0.1652,
#rates,0.143,0.1784,0.1784,
,,,,
#const_k,0,0,,
#const_k,1169,2020,2055,
#const_k,1402,3357,3414,
#const_k,3809,5044,5129,
,,,,
#claim_amount,9388,9472,9633,
